,No.,Code,Name,Prev.,Close,Change,%
803,804.0,PUDP,Pudjiadi Prestige Tbk.,340,330,-10,-2.94%
804,805.0,PURA,Putra Rajawali Kencana Tbk.,50,50,0,0.00%
805,806.0,PURA-W,Waran Seri I Putra Rajawali Kencana Tbk.,10,10,0,0.00%
806,807.0,PURE,Trinitan Metals and Minerals Tbk.,50,50,0,0.00%
807,808.0,PURI,Puri Global Sukses Tbk.,470,478,8,1.70%
808,809.0,PWON,Pakuwon Jati Tbk.,448,444,-4,-0.89%
809,810.0,PYFA,Pyridam Farma Tbk,1045,1045,0,0.00%
810,811.0,PYFA-W,Warrant Pyridam Farma Tbk,0,0,0,0.00%
811,812.0,PZZA,Sarimelati Kencana Tbk.,545,545,0,0.00%
812,813.0,R-ABFII,Asian Bond Fund - Indonesia Bond Index Fund,28600,0,0,0.00%
813,814.0,R-LQ45X,Premier ETF LQ-45 (R-LQ45X),1032,1020,-12,-1.16%
814,815.0,RAJA,Rukun Raharja Tbk.,570,570,0,0.00%
815,816.0,RALS,Ramayana Lestari Sentosa Tbk.,570,555,-15,-2.63%
816,817.0,RANC,Supra Boga Lestari Tbk.,1355,1285,-70,-5.17%
817,818.0,RBMS,Ristia Bintang Mahkotasejati Tbk.,51,51,0,0.00%
818,819.0,RBMS-R,Right II Ristia Bintang Mahkotasejati,0,0,0,0.00%
819,820.0,RDTX,Roda Vivatex Tbk,8000,8000,0,0.00%
820,821.0,REAL,Repower Asia Indonesia Tbk.,50,50,0,0.00%
821,822.0,REAL-W,Waran Seri I Repower Asia Indonesia Tbk,0,0,0,0.00%
822,823.0,RELI,Reliance Sekuritas Indonesia Tbk.,650,655,5,0.77%
823,824.0,RICY,Ricky Putra Globalindo Tbk,97,100,3,3.09%
824,825.0,RIGS,Rig Tenders Indonesia Tbk.,535,665,130,24.30%
825,826.0,RIMO,Rimo International Lestari Tbk,50,0,0,0.00%
826,827.0,RIMO-W,Warrant Rimo Catur Lestari Tbk,0,0,0,0.00%
827,828.0,RISE,Jaya Sukses Makmur Sentosa Tbk.,770,765,-5,-0.65%
828,829.0,RMBA,Bentoel Internasional Investama Tbk.,306,0,0,0.00%
829,830.0,RMBA-R,Right III Bentoel International Inv. Tbk,0,0,0,0.00%
830,831.0,RMKE,RMK Energy Tbk.,720,770,50,6.94%
831,832.0,ROCK,Rockfields Properti Indonesia Tbk.,498,464,-34,-6.83%
832,833.0,RODA,Pikko Land Development Tbk.,87,85,-2,-2.30%
833,834.0,RONY,Aesler Grup Internasional Tbk.,800,0,0,0.00%
834,835.0,ROTI,Nippon Indosari Corpindo Tbk.,1280,1280,0,0.00%
835,836.0,RSGK,Kedoya Adyaraya Tbk.,1300,1300,0,0.00%
836,837.0,RUIS,Radiant Utama Interinsco Tbk.,192,193,1,0.52%
837,838.0,RUNS,Global Sukses Solusi Tbk.,174,172,-2,-1.15%
838,839.0,SAFE,Steady Safe Tbk,214,214,0,0.00%
839,840.0,SAME,Sarana Meditama Metropolitan Tbk.,416,424,8,1.92%
840,841.0,SAME-R,Right II Sarana Meditama Metropolitan Tb,0,0,0,0.00%
841,842.0,SAMF,Saraswanti Anugerah Makmur Tbk.,442,440,-2,-0.45%
842,843.0,SAPX,Satria Antaran Prima Tbk.,990,990,0,0.00%
843,844.0,SATU,Kota Satu Properti Tbk.,110,112,2,1.82%
844,845.0,SBAT,Sejahtera Bintang Abadi Textile Tbk.,50,50,0,0.00%
845,846.0,SBAT-R,Right I Sejahtera Bintang Abadi Textile,0,0,0,0.00%
846,847.0,SBAT-W,Waran Seri I Sejahtera Bintang Abadi Textile Tbk.,7,7,0,0.00%
847,848.0,SBAT-W2,Waran Seri II Sejahtera Bintang Abadi Textile Tbk.,8,9,1,12.50%
848,849.0,SBMA,Surya Biru Murni Acetylene Tbk.,133,130,-3,-2.26%
849,850.0,SBMA-W,Waran Seri I Surya Biru Murni Acetylene Tbk.,30,35,5,16.67%
850,851.0,SCCO,Supreme Cable Manufacturing & Commerce Tbk.,9875,0,0,0.00%
851,852.0,SCMA,Surya Citra Media Tbk.,206,202,-4,-1.94%
852,853.0,SCNP,Selaras Citra Nusantara Perkasa Tbk.,230,230,0,0.00%
853,854.0,SCPI,Organon Pharma Indonesia Tbk.,29000,0,0,0.00%
854,855.0,SDMU,Sidomulyo Selaras Tbk.,78,77,-1,-1.28%
855,856.0,SDPC,Millennium Pharmacon International Tbk.,130,131,1,0.77%
856,857.0,SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,570,570,0,0.00%
857,858.0,SDRA-R,Right III Bank Woori Saudara Indonesia,0,0,0,0.00%
858,859.0,SEMA,Semacom Integrated Tbk.,200,197,-3,-1.50%
859,860.0,SEMA-W,Waran Seri I Semacom Integrated Tbk.,31,30,-1,-3.23%
860,861.0,SFAN,Surya Fajar Capital Tbk.,1540,1530,-10,-0.65%
861,862.0,SGER,Sumber Global Energy Tbk.,1250,1205,-45,-3.60%
862,863.0,SGER-W,Waran Seri I Sumber Global Energy Tbk.,1800,0,0,0.00%
863,864.0,SGRO,Sampoerna Agro Tbk.,2020,2000,-20,-0.99%
864,865.0,SHID,Hotel Sahid Jaya International Tbk.,2040,2030,-10,-0.49%
865,866.0,SHIP,Sillo Maritime Perdana Tbk.,1245,1280,35,2.81%
866,867.0,SIAP-R,HMETD Sekawan Intipratama Tbk.,0,0,0,0.00%
867,868.0,SICO,Sigma Energy Compressindo Tbk.,145,152,7,4.83%
868,869.0,SICO-W,Waran Seri I Sigma Energy Compressindo Tbk.,45,44,-1,-2.22%
869,870.0,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,980,955,-25,-2.55%
870,871.0,SILO,Siloam International Hospitals Tbk.,1010,1005,-5,-0.50%
871,872.0,SILO-R,Right II Siloam Intl. Hospitals Tbk,0,0,0,0.00%
872,873.0,SIMA,Siwani Makmur Tbk,50,0,0,0.00%
873,874.0,SIMP,Salim Ivomas Pratama Tbk.,444,442,-2,-0.45%
874,875.0,SINI,Singaraja Putra Tbk.,274,274,0,0.00%
875,876.0,SINI-W,Waran Seri I Singaraja Putra Tbk.,135,133,-2,-1.48%
876,877.0,SIPD,Sreeya Sewu Indonesia Tbk.,1615,1615,0,0.00%
877,878.0,SKBM,Sekar Bumi Tbk.,370,360,-10,-2.70%
878,879.0,SKLT,Sekar Laut Tbk.,2010,0,0,0.00%
879,880.0,SKRN,Superkrane Mitra Utama Tbk.,1200,1165,-35,-2.92%
880,881.0,SKYB,Northcliff Citranusa Indonesia Tbk.,51,0,0,0.00%
881,882.0,SLIS,Gaya Abadi Sempurna Tbk.,173,198,25,14.45%
882,883.0,SMAR,Smart Tbk.,4320,4210,-110,-2.55%
883,884.0,SMBR,Semen Baturaja (Persero) Tbk.,464,464,0,0.00%
884,885.0,SMCB,Solusi Bangun Indonesia Tbk.,1600,1630,30,1.88%
885,886.0,SMCB-R,Right II Solusi Bangun Indonesia Tbk,0,0,0,0.00%
886,887.0,SMDM,Suryamas Dutamakmur Tbk.,188,188,0,0.00%
887,888.0,SMDR,Samudera Indonesia Tbk.,2550,2510,-40,-1.57%
888,889.0,SMGR,Semen Indonesia (Persero) Tbk.,6400,6400,0,0.00%
889,890.0,SMKL,Satyamitra Kemas Lestari Tbk.,376,374,-2,-0.53%
890,891.0,SMKL-W,Waran Seri I Satyamitra Kemas Lestari,1,0,0,0.00%
891,892.0,SMKM,Sumber Mas Konstruksi Tbk.,188,173,-15,-7.98%
892,893.0,SMMA,Sinarmas Multiartha Tbk.,12200,0,0,0.00%
893,894.0,SMMT,Golden Eagle Energy Tbk.,830,805,-25,-3.01%
894,895.0,SMMT-R,Right I Eatertainment International Tbk,0,0,0,0.00%
895,896.0,SMRA,Summarecon Agung Tbk.,555,550,-5,-0.90%
896,897.0,SMRA-R,Right II Summarecon Agung Tbk,0,0,0,0.00%
897,898.0,SMRU,SMR Utama Tbk.,50,0,0,0.00%
898,899.0,SMSM,Selamat Sempurna Tbk.,1300,1275,-25,-1.92%
899,900.0,SNLK,Sunter Lakeside Hotel Tbk.,780,730,-50,-6.41%
900,901.0,SOCI,Soechi Lines Tbk.,181,183,2,1.11%
901,902.0,SOFA,Boston Furniture Industries Tbk.,30,33,3,10.00%
902,903.0,SOFA-W,Waran Seri I Boston Furniture Industries,0,0,0,0.00%
903,904.0,SOHO,Soho Global Health Tbk.,5900,5900,0,0.00%
904,905.0,SONA,Sona Topas Tourism Industry Tbk.,3630,0,0,0.00%
905,906.0,SOSS,Shield On Service Tbk.,394,394,0,0.00%
906,907.0,SOSS-W,Waran Seri I Shield On Service Tbk.,43,44,1,2.33%
907,908.0,SOTS,Satria Mega Kencana Tbk.,320,298,-22,-6.88%
908,909.0,SOTS-W,Waran Seri I Satria Mega Kencana Tbk.,47,46,-1,-2.13%
909,910.0,SPMA,Suparma Tbk.,610,600,-10,-1.64%
910,911.0,SPMA-W,Warrant Suparma Tbk,0,0,0,0.00%
911,912.0,SPTO,Surya Pertiwi Tbk.,575,580,5,0.87%
912,913.0,SQMI,Wilton Makmur Indonesia Tbk.,64,62,-2,-3.13%
913,914.0,SRAJ,Sejahteraraya Anugrahjaya Tbk.,181,183,2,1.11%
914,915.0,SRAJ-R,Right I Sejahteraraya Anugrahjaya Tbk,0,0,0,0.00%
915,916.0,SRIL,Sri Rejeki Isman Tbk.,146,0,0,0.00%
916,917.0,SRSN,Indo Acidatama Tbk,52,52,0,0.00%
917,918.0,SRTG,Saratoga Investama Sedaya Tbk.,2360,2250,-110,-4.66%
918,919.0,SSIA,Surya Semesta Internusa Tbk.,376,368,-8,-2.13%
919,920.0,SSMS,Sawit Sumbermas Sarana Tbk.,1300,1315,15,1.15%
920,921.0,SSTM,Sunson Textile Manufacture Tbk,795,0,0,0.00%
921,922.0,STAA,Sumber Tani Agung Resources Tbk.,1255,1250,-5,-0.40%
922,923.0,STAR,Buana Artha Anugerah Tbk.,134,134,0,0.00%
923,924.0,STTP,Siantar Top Tbk.,8425,0,0,0.00%
924,925.0,SUGI,Sugih Energy Tbk.,50,0,0,0.00%
925,926.0,SULI,SLJ Global Tbk.,57,56,-1,-1.75%
926,927.0,SULI-W,Waran Seri I Sumalindo Lestari,0,0,0,0.00%
927,928.0,SUPR,Solusi Tunas Pratama Tbk.,36700,0,0,0.00%
928,929.0,SURE,Super Energy Tbk.,1890,0,0,0.00%
929,930.0,SWAT,Sriwahana Adityakarta Tbk.,82,84,2,2.44%
930,931.0,SWID,Saraswanti Indoland Development Tbk.,175,163,-12,-6.86%
931,932.0,SWID-W,Waran Seri I Saraswanti Indoland Development Tbk.,10,11,1,10.00%
932,933.0,TALF,Tunas Alfin Tbk.,368,344,-24,-6.52%
933,934.0,TAMA,Lancartama Sejati Tbk.,50,50,0,0.00%
934,935.0,TAMA-R,Right I Lancartama Sejati Tbk,0,0,0,0.00%
935,936.0,TAMA-W,Waran Seri I Lancartama Sejati Tbk.,10,10,0,0.00%
936,937.0,TAMA-W2,Waran Seri II Lancartama Sejati Tbk.,22,20,-2,-9.09%
937,938.0,TAMU,Pelayaran Tamarin Samudra Tbk.,50,50,0,0.00%
938,939.0,TAPG,Triputra Agro Persada Tbk.,615,595,-20,-3.25%
939,940.0,TARA,Agung Semesta Sejahtera Tbk.,50,50,0,0.00%
940,941.0,TARA-W,Waran Seri I Sitara Propertindo Tbk,0,0,0,0.00%
941,942.0,TAXI,Express Transindo Utama Tbk.,50,50,0,0.00%
942,943.0,TAYS,Jaya Swarasa Agung Tbk.,190,193,3,1.58%
943,944.0,TBIG,Tower Bersama Infrastructure Tbk.,2870,2900,30,1.05%
944,945.0,TBLA,Tunas Baru Lampung Tbk.,770,765,-5,-0.65%
945,946.0,TBMS,Tembaga Mulia Semanan Tbk.,1745,1750,5,0.29%
946,947.0,TCID,Mandom Indonesia Tbk.,5300,5225,-75,-1.42%
947,948.0,TCPI,Transcoal Pacific Tbk.,10550,0,0,0.00%
948,949.0,TDPM,Tridomain Performance Materials Tbk.,119,0,0,0.00%
949,950.0,TEBE,Dana Brata Luhur Tbk.,755,760,5,0.66%
950,951.0,TECH,Indosterling Technomedia Tbk.,7500,7375,-125,-1.67%
951,952.0,TELE,Tiphone Mobile Indonesia Tbk.,50,50,0,0.00%
952,953.0,TFAS,Telefast Indonesia Tbk.,4450,4390,-60,-1.35%
953,954.0,TFCO,Tifico Fiber Indonesia Tbk.,710,0,0,0.00%
954,955.0,TGKA,Tigaraksa Satria Tbk.,7250,7250,0,0.00%
955,956.0,TGRA,Terregra Asia Energy Tbk.,53,51,-2,-3.77%
956,957.0,TIFA,KDB Tifa Finance Tbk.,500,0,0,0.00%
957,958.0,TIFA-R,HMETD KDB Tifa Finance Tbk.,0,0,0,0.00%
958,959.0,TINS,Timah Tbk.,1360,1335,-25,-1.84%
959,960.0,TIRA,Tira Austenite Tbk,410,428,18,4.39%
960,961.0,TIRT,Tirta Mahakam Resources Tbk,50,50,0,0.00%
961,962.0,TIRT-W,Warrant Seri I Tirta Mahakam R,0,0,0,0.00%
962,963.0,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,6300,6250,-50,-0.79%
963,964.0,TKIM-W,Waran Seri II Pabrik Kertas Tjiwi Kimia,0,0,0,0.00%
964,965.0,TLDN,Teladan Prima Agro Tbk.,585,585,0,0.00%
965,966.0,TLKM,Telkom Indonesia (Persero) Tbk.,4010,3940,-70,-1.75%
966,967.0,TMAS,Temas Tbk.,2820,2730,-90,-3.19%
967,968.0,TMPI-W,Waran Seri II AGIS Tbk,0,0,0,0.00%
968,969.0,TMPO,Tempo Intimedia Tbk.,123,124,1,0.81%
969,970.0,TMPO-R,Right I Tempo Inti Media Tbk,0,0,0,0.00%
970,971.0,TMPO-W,Warrant Seri I Tempo Inti Medi,0,0,0,0.00%
971,972.0,TNCA,Trimuda Nuansa Citra Tbk.,414,426,12,2.90%
972,973.0,TOBA,TBS Energi Utama Tbk.,780,750,-30,-3.85%
973,974.0,TOPS,Totalindo Eka Persada Tbk.,50,50,0,0.00%
974,975.0,TOTL,Total Bangun Persada Tbk.,302,300,-2,-0.66%
975,976.0,TOTO,Surya Toto Indonesia Tbk.,268,274,6,2.24%
976,977.0,TOWR,Sarana Menara Nusantara Tbk.,1145,1150,5,0.44%
977,978.0,TOYS,Sunindo Adipersada Tbk.,120,120,0,0.00%
978,979.0,TOYS-W,Waran Seri I Sunindo Adipersada Tbk.,6,5,-1,-16.67%
979,980.0,TPIA,Chandra Asri Petrochemical Tbk.,9050,9200,150,1.66%
980,981.0,TPIA-R,Right III Chandra Asri Petrocemical Tbk,0,0,0,0.00%
981,982.0,TPMA,Trans Power Marine Tbk.,368,380,12,3.26%
982,983.0,TRAM,Trada Alam Minera Tbk.,50,0,0,0.00%
983,984.0,TRAM-W,Waran Seri II Trada Alam Minera Tbk.,0,0,0,0.00%
984,985.0,TRGU,Cerestar Indonesia Tbk.,406,505,99,24.38%
985,986.0,TRIL,Triwira Insanlestari Tbk.,50,0,0,0.00%
986,987.0,TRIM,Trimegah Sekuritas Indonesia Tbk.,228,226,-2,-0.88%
987,988.0,TRIN,Perintis Triniti Properti Tbk.,400,396,-4,-1.00%
988,989.0,TRIN-W,Waran Seri I Perintis Triniti Properti Tbk.,78,77,-1,-1.28%
989,990.0,TRIO,Trikomsel Oke Tbk.,426,0,0,0.00%
990,991.0,TRIO-R,Right I Trikomsel Oke Tbk Seri A,0,0,0,0.00%
991,992.0,TRIO-R2,Right II Trikomsel Oke Tbk Seri B,0,0,0,0.00%
992,993.0,TRIS,Trisula International Tbk.,164,163,-1,-0.61%
993,994.0,TRIS-R,Right I Trisula International Tbk,0,0,0,0.00%
994,995.0,TRIS-W,Waran Seri I Trisula International Tbk.,6,0,0,0.00%
995,996.0,TRJA,Transkon Jaya Tbk.,230,228,-2,-0.87%
996,997.0,TRST,Trias Sentosa Tbk.,730,730,0,0.00%
997,998.0,TRUE,Triniti Dinamik Tbk.,61,61,0,0.00%
998,999.0,TRUE-W,Waran Seri I Triniti Dinamik Tbk.,14,14,0,0.00%
999,1000.0,TRUK,Guna Timur Raya Tbk.,121,121,0,0.00%
1000,1001.0,TRUS,Trust Finance Indonesia Tbk,418,418,0,0.00%
1001,1002.0,TSPC,Tempo Scan Pacific Tbk.,1380,1410,30,2.17%
1002,1003.0,TUGU,Asuransi Tugu Pratama Indonesia Tbk.,1305,1315,10,0.77%
1003,1004.0,TURI,Tunas Ridean Tbk.,1560,0,0,0.00%
1004,1005.0,UANG,Pakuan Tbk.,550,545,-5,-0.91%
1005,1006.0,UCID,Uni-Charm Indonesia Tbk.,1220,1225,5,0.41%
1006,1007.0,UFOE,Damai Sejahtera Abadi Tbk.,955,890,-65,-6.81%
1007,1008.0,ULTJ,"Ultra Jaya Milk Industry & Trading Company, Tbk.",1450,1440,-10,-0.69%
1008,1009.0,UNIC,Unggul Indah Cahaya Tbk.,12225,12200,-25,-0.20%
1009,1010.0,UNIQ,Ulima Nitra Tbk.,53,54,1,1.89%
1010,1011.0,UNIT,Nusantara Inti Corpora Tbk,316,0,0,0.00%
1011,1012.0,UNSP,Bakrie Sumatera Plantations Tbk.,123,121,-2,-1.63%
1012,1013.0,UNTR,United Tractors Tbk.,26925,28275,1350,5.01%
1013,1014.0,UNVR,Unilever Indonesia Tbk.,4880,4900,20,0.41%
1014,1015.0,URBN,Urban Jakarta Propertindo Tbk.,230,230,0,0.00%
1015,1016.0,URBN-W,Waran Seri I Urban Jakarta Propertindo,7,0,0,0.00%
1016,1017.0,UVCR,Trimegah Karya Pratama Tbk.,149,150,1,0.67%
1017,1018.0,UVCR-W,Waran Seri I Trimegah Karya Pratama Tbk.,30,29,-1,-3.33%
1018,1019.0,VICI,Victoria Care Indonesia Tbk.,440,442,2,0.45%
1019,1020.0,VICO,Victoria Investama Tbk.,160,160,0,0.00%
1020,1021.0,VICO-W,Waran Seri I Victoria Investama Tbk,0,0,0,0.00%
1021,1022.0,VINS,Victoria Insurance Tbk.,162,162,0,0.00%
1022,1023.0,VIVA,Visi Media Asia Tbk.,50,50,0,0.00%
1023,1024.0,VOKS,Voksel Electric Tbk.,167,169,2,1.20%
1024,1025.0,VRNA,Verena Multi Finance Tbk.,105,104,-1,-0.95%
1025,1026.0,VRNA-R,Right II Verena Multi Finance Tbk,0,0,0,0.00%
1026,1027.0,WAPO,Wahana Pronatural Tbk.,136,130,-6,-4.41%
1027,1028.0,WAPO-R,Right I Wahana Pronatural Tbk,0,0,0,0.00%
1028,1029.0,WAPO-W,Warrant Seri I Wahana Phonix M,0,0,0,0.00%
1029,1030.0,WEGE,Wijaya Karya Bangunan Gedung Tbk.,174,172,-2,-1.15%
1030,1031.0,WEHA,WEHA Transportasi Indonesia Tbk.,172,171,-1,-0.58%
1031,1032.0,WEHA-W,Waran Seri II Panorama Transportasi Tbk,0,0,0,0.00%
1032,1033.0,WGSH,Wira Global Solusi Tbk.,169,168,-1,-0.59%
1033,1034.0,WICO,Wicaksana Overseas International Tbk.,376,380,4,1.06%
1034,1035.0,WIFI,Solusi Sinergi Digital Tbk.,274,270,-4,-1.46%
1035,1036.0,WIFI-W,Waran Seri I Solusi Sinergi Digital Tbk.,72,80,8,11.11%
1036,1037.0,WIIM,Wismilak Inti Makmur Tbk.,450,454,4,0.89%
1037,1038.0,WIKA,Wijaya Karya (Persero) Tbk.,915,905,-10,-1.09%
1038,1039.0,WIKA-R,Right I Wijaya Karya (Persero) Tbk,0,0,0,0.00%
1039,1040.0,WINR,Winner Nusantara Jaya Tbk.,52,52,0,0.00%
1040,1041.0,WINR-W,Waran Seri I Winner Nusantara Jaya Tbk.,7,7,0,0.00%
1041,1042.0,WINS,Wintermar Offshore Marine Tbk.,176,186,10,5.68%
1042,1043.0,WIRG,WIR ASIA Tbk.,565,575,10,1.77%
1043,1044.0,WIRG-W,Waran Seri I WIR ASIA Tbk.,238,246,8,3.36%
1044,1045.0,WMPP,Widodo Makmur Perkasa Tbk.,130,130,0,0.00%
1045,1046.0,WMUU,Widodo Makmur Unggas Tbk.,139,138,-1,-0.72%
1046,1047.0,WOMF,Wahana Ottomitra Multiartha Tbk.,242,242,0,0.00%
1047,1048.0,WOOD,Integra Indocabinet Tbk.,560,555,-5,-0.89%
1048,1049.0,WOWS,Ginting Jaya Energi Tbk.,50,50,0,0.00%
1049,1050.0,WSBP,Waskita Beton Precast Tbk.,95,0,0,0.00%
1050,1051.0,WSKT,Waskita Karya (Persero) Tbk.,535,525,-10,-1.87%
1051,1052.0,WSKT-R,Right II Waskita Karya (Persero) Tbk,0,0,0,0.00%
1052,1053.0,WTON,Wijaya Karya Beton Tbk.,202,202,0,0.00%
1053,1054.0,XAFA,Reksa Dana Avrist ETF Fixed Rate Bond I,990,1040,50,5.05%
1054,1055.0,XAQA,Reksa Dana Ashmore ETF LQ45 ALPHA,1245,1158,-87,-6.99%
1055,1056.0,XASG,Reksa Dana Indeks Aurora ETF FTSE Indone,0,0,0,0.00%
1056,1057.0,XBES,Reksa Dana Indeks BNI-AM ETF MSCI ESG Leaders Indonesia,1535,1695,160,10.42%
1057,1058.0,XBID,Reksa Dana Indeks Batavia IDX30 ETF,543,535,-8,-1.47%
1058,1059.0,XBIG,Reksa Dana Indeks BNP Paribas IDX Growth30 ETF,522,0,0,0.00%
1059,1060.0,XBIN,Reksa Dana Indeks Bahana ETF Bisnis - 27,514,0,0,0.00%
1060,1061.0,XBLQ,Reksa Dana Batavia Smart Liquid ETF,487,0,0,0.00%
1061,1062.0,XBNI,Reksa Dana Indeks BNI-AM Nusantara ETF MSCI Indonesia,1043,0,0,0.00%
1062,1063.0,XBSK,Reksa Dana Indeks Batavia SRI-KEHATI ETF,407,398,-9,-2.21%
1063,1064.0,XCEG,Reksa Dana Indeks Capital ETF IDX ESG Leaders,93,92,-1,-1.08%
1064,1065.0,XCID,DIRE Ciptadana Properti Ritel Indonesia,85,86,1,1.18%
1065,1066.0,XCIS,DIRE Ciptadana Properti Perhotelan Padjajaran,101,102,1,0.99%
1066,1067.0,XCLQ,Reksa Dana Indeks Cipta ETF Index LQ45,101,101,0,0.00%
1067,1068.0,XDIF,Reksa Dana Danareksa ETF Indonesia Top 40,476,0,0,0.00%
1068,1069.0,XDSG,Reksa Dana Indeks Danareksa ETF MSCI Indonesia ESG Screened,986,966,-20,-2.03%
1069,1070.0,XFES,Reksa Dana Indeks FWD Asset IDX ESG Leaders ETF,131,0,0,0.00%
1070,1071.0,XIFE,Reksa Dana Indeks Premier ETF FTSE Indonesia ESG,106,105,-1,-0.94%
1071,1072.0,XIHD,Reksa Dana Indeks Premier ETF IDX High Dividend 20,542,540,-2,-0.37%
1072,1073.0,XIIC,Reksa Dana Premier ETF Indonesia Consumer,993,0,0,0.00%
1073,1074.0,XIID,Reksa Dana Indeks Premier ETF Index IDX30,535,0,0,0.00%
1074,1075.0,XIIF,Reksa Dana Premier ETF Indonesia Financial,507,500,-7,-1.38%
1075,1076.0,XIIT,Reksa Dana Premier ETF IDX30,553,543,-10,-1.81%
1076,1077.0,XIJI,Reksa Dana Syariah Premier ETF JII,630,630,0,0.00%
1077,1078.0,XILV,RDI Insight ETF FTSE Indonesia Low Volatility Factor Index,118,117,-1,-0.85%
1078,1079.0,XIML,Reksa Dana Indeks Premier ETF MSCI Indonesia Large Cap,256,0,0,0.00%
1079,1080.0,XIPI,Reksa Dana Indeks Premier ETF PEFINDO i-Grade,173,0,0,0.00%
1080,1081.0,XISB,Reksa Dana Premier ETF Indonesia Sovereign Bonds,398,0,0,0.00%
1081,1082.0,XISC,Reksa Dana Premier ETF Indonesia Stated-Owned Companies,684,0,0,0.00%
1082,1083.0,XISI,Premier ETF SMinfra18,337,334,-3,-0.89%
1083,1084.0,XISR,Premier ETF SRI-KEHATI,404,398,-6,-1.49%
1084,1085.0,XKIV,Reksa Dana Indeks KISI IDX Value30 ETF,504,0,0,0.00%
1085,1086.0,XKMS,Reksa Dana Indeks KISI MSCI Indonesia ETF,1109,1092,-17,-1.53%
1086,1087.0,XMIG,Reksa Dana Indeks Majoris Pefindo I-Grade ETF Indonesia,183,0,0,0.00%
1087,1088.0,XMJM,DINFRA TOLL ROAD MANDIRI-001,1001,0,0,0.00%
1088,1089.0,XMTS,Reksa Dana ETF MNC36 Likuid,485,0,0,0.00%
1089,1090.0,XNVE,Reksa Dana Indeks Nusadana ETF IDX Value30,160,158,-2,-1.25%
1090,1091.0,XPCR,Reksa Dana PNM ETF CORE LQ45,918,0,0,0.00%
1091,1092.0,XPDV,Reksa Dana Pinnacle Core High Dividend ETF,543,540,-3,-0.55%
1092,1093.0,XPES,Reksa Dana Syariah KIK Pinnacle Enhanced Sharia ETF,412,0,0,0.00%
1093,1094.0,XPFT,Reksa Dana Indeks Pinnacle FTSE Indonesia ETF,549,544,-5,-0.91%
1094,1095.0,XPID,Reksa Dana Indeks Pinnacle IDX30 ETF,518,0,0,0.00%
1095,1096.0,XPLC,Reksa Dana Pinnacle Indonesia Large-Cap ETF,481,0,0,0.00%
1096,1097.0,XPLQ,Reksa Dana Pinnacle Enhanced Liquid ETF,503,0,0,0.00%
1097,1098.0,XPMI,ETF Phillip MSCI Indonesia Equity Index,1010,0,0,0.00%
1098,1099.0,XPSG,Reksa Dana Pinnacle Indonesia ESG ETF,394,0,0,0.00%
1099,1100.0,XPTD,Reksa Dana Indeks Panin ETF IDX30 Dinamis,515,0,0,0.00%
1100,1101.0,XSBC,Reksa Dana Indeks Simas ETF IDX30,110,0,0,0.00%
1101,1102.0,XSMU,RD Syailendra ETF MSCI Indonesia ESG Universal Index,141,145,4,2.84%
1102,1103.0,XSPI,DIRE Simas Plaza Indonesia,750,0,0,0.00%
1103,1104.0,XSRI,Reksa Dana Indeks STAR ETF SRI-KEHATI,202,0,0,0.00%
1104,1105.0,XSSI,Reksa Dana Syariah Indeks Simas ETF JII,76,76,0,0.00%
1105,1106.0,XSSK,Reksa Dana Indeks SAM ETF SRI-KEHATI,829,1035,206,24.85%
1106,1107.0,YELO,Yelooo Integra Datanet Tbk.,91,92,1,1.10%
1107,1108.0,YELO-R,Right I Yelooo Integra Datanet Tbk,0,0,0,0.00%
1108,1109.0,YELO-W,Waran Seri I Yelooo Integra Datanet Tbk,12,0,0,0.00%
1109,1110.0,YPAS,Yanaprima Hastapersada Tbk,530,530,0,0.00%
1110,1111.0,YULE,Yulie Sekuritas Indonesia Tbk.,2140,2120,-20,-0.93%
1111,1112.0,ZBRA,Dosni Roha Indonesia Tbk.,560,560,0,0.00%
1112,1113.0,ZBRA-R,Right II Zebra Nusantara Tbk,0,0,0,0.00%
1113,1114.0,ZINC,Kapuas Prima Coal Tbk.,81,80,-1,-1.23%
1114,1115.0,ZONE,Mega Perintis Tbk.,1455,1355,-100,-6.87%
1115,1116.0,ZYRX,Zyrexindo Mandiri Buana Tbk.,444,440,-4,-0.90%
1116,1117.0,ZYRX-W,Waran Seri I Zyrexindo Mandiri Buana Tbk.,27,26,-1,-3.70%
