,No.,Code,Name,Prev.,Close,Change,%
527,528.0,JRPT,Jaya Real Property Tbk.,474,472,-2,-0.42%
528,529.0,JSKY,Sky Energy Indonesia Tbk.,58,56,-2,-3.45%
529,530.0,JSMR,Jasa Marga (Persero) Tbk.,3580,3470,-110,-3.07%
530,531.0,JSPT,Jakarta Setiabudi Internasional Tbk.,835,0,0,0.00%
531,532.0,JTPE,Jasuindo Tiga Perkasa Tbk.,920,920,0,0.00%
532,533.0,KAEF,Kimia Farma Tbk.,1405,1445,40,2.85%
533,534.0,KARW,ICTSI Jasa Prima Tbk.,87,85,-2,-2.30%
534,535.0,KAYU,Darmi Bersaudara Tbk.,50,50,0,0.00%
535,536.0,KBAG,Karya Bersama Anugerah Tbk.,50,50,0,0.00%
536,537.0,KBAG-W,Waran Seri I Karya Bersama Anugerah Tbk.,8,8,0,0.00%
537,538.0,KBLI,KMI Wire & Cable Tbk.,322,320,-2,-0.62%
538,539.0,KBLM,Kabelindo Murni Tbk.,264,260,-4,-1.52%
539,540.0,KBLM-W,Warrant Seri I Kabelindo Murni,0,0,0,0.00%
540,541.0,KBLV,First Media Tbk.,218,216,-2,-0.92%
541,542.0,KBRI,Kertas Basuki Rachmat Indonesia Tbk.,50,0,0,0.00%
542,543.0,KDSI,Kedawung Setia Industrial Tbk.,1050,1035,-15,-1.43%
543,544.0,KEEN,Kencana Energi Lestari Tbk.,444,448,4,0.90%
544,545.0,KEJU,Mulia Boga Raya Tbk.,1290,1300,10,0.78%
545,546.0,KIAS,Keramika Indonesia Assosiasi Tbk.,50,50,0,0.00%
546,547.0,KICI,Kedaung Indah Can Tbk,187,186,-1,-0.53%
547,548.0,KIJA,Kawasan Industri Jababeka Tbk.,162,162,0,0.00%
548,549.0,KINO,Kino Indonesia Tbk.,2790,2670,-120,-4.30%
549,550.0,KIOS,Kioson Komersial Indonesia Tbk.,260,260,0,0.00%
550,551.0,KJEN,Krida Jaringan Nusantara Tbk.,195,222,27,13.85%
551,552.0,KKGI,Resource Alam Indonesia Tbk.,515,520,5,0.97%
552,553.0,KLBF,Kalbe Farma Tbk.,1680,1690,10,0.60%
553,554.0,KMDS,Kurniamitra Duta Sentosa Tbk.,605,600,-5,-0.83%
554,555.0,KMTR,Kirana Megatara Tbk.,290,288,-2,-0.69%
555,556.0,KMTR-R,Right I Kirana Megatara Tbk,0,0,0,0.00%
556,557.0,KOBX,Kobexindo Tractors Tbk.,440,428,-12,-2.73%
557,558.0,KOIN,Kokoh Inti Arebama Tbk,148,148,0,0.00%
558,559.0,KONI,Perdana Bangun Pusaka Tbk,1540,1540,0,0.00%
559,560.0,KOPI,Mitra Energi Persada Tbk.,550,570,20,3.64%
560,561.0,KOPI-W,Warrant Seri I Kopitime Dot Co,0,0,0,0.00%
561,562.0,KOTA,DMS Propertindo Tbk.,50,50,0,0.00%
562,563.0,KOTA-W,Waran Seri I DMS Propertindo Tbk,10,0,0,0.00%
563,564.0,KPAL,Steadfast Marine Tbk.,50,0,0,0.00%
564,565.0,KPAL-W,Waran Seri I Steadfast Marine Tbk,0,0,0,0.00%
565,566.0,KPAS,Cottonindo Ariesta Tbk.,62,0,0,0.00%
566,567.0,KPAS-W,Waran Seri I Cottonindo Ariesta Tbk,13,0,0,0.00%
567,568.0,KPIG,MNC Land Tbk.,90,88,-2,-2.22%
568,569.0,KRAH,Grand Kartech Tbk.,436,0,0,0.00%
569,570.0,KRAS,Krakatau Steel (Persero) Tbk.,348,352,4,1.15%
570,571.0,KREN,Kresna Graha Investama Tbk.,50,50,0,0.00%
571,572.0,KREN-R,Right I Kresna Graha Sekurindo Tbk,0,0,0,0.00%
572,573.0,KUAS,Ace Oldfields Tbk.,71,71,0,0.00%
573,574.0,KUAS-W,Waran Seri I Ace Oldfields Tbk.,16,16,0,0.00%
574,575.0,LABA,Ladangbaja Murni Tbk.,152,147,-5,-3.29%
575,576.0,LABA-W,Waran Seri I Ladangbaja Murni Tbk.,19,19,0,0.00%
576,577.0,LAMI-W,Warrant Seri I Lamicitra Nusan,0,0,0,0.00%
577,578.0,LAND,Trimitra Propertindo Tbk.,165,154,-11,-6.67%
578,579.0,LAPD,Leyand International Tbk.,50,0,0,0.00%
579,580.0,LCGP,Eureka Prima Jakarta Tbk.,114,0,0,0.00%
580,581.0,LCKM,LCK Global Kedaton Tbk.,296,300,4,1.35%
581,582.0,LEAD,Logindo Samudramakmur Tbk.,55,57,2,3.64%
582,583.0,LFLO,Imago Mulia Persada Tbk.,76,77,1,1.32%
583,584.0,LFLO-W,Waran Seri I Imago Mulia Persada Tbk,3,0,0,0.00%
584,585.0,LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.,5800,0,0,0.00%
585,586.0,LINK,Link Net Tbk.,4650,4650,0,0.00%
586,587.0,LION,Lion Metal Works Tbk.,388,372,-16,-4.12%
587,588.0,LMAS,Limas Indonesia Makmur Tbk,50,50,0,0.00%
588,589.0,LMAS-W,Warrant Seri B Limas Stokhomin,0,0,0,0.00%
589,590.0,LMPI,Langgeng Makmur Industri Tbk.,169,170,1,0.59%
590,591.0,LMSH,Lionmesh Prima Tbk.,690,0,0,0.00%
591,592.0,LPCK,Lippo Cikarang Tbk,1090,1075,-15,-1.38%
592,593.0,LPCK-R,Right I Lippo Cikarang Tbk,0,0,0,0.00%
593,594.0,LPGI,Lippo General Insurance Tbk.,5750,5975,225,3.91%
594,595.0,LPIN,Multi Prima Sejahtera Tbk,440,452,12,2.73%
595,596.0,LPKR,Lippo Karawaci Tbk.,104,103,-1,-0.96%
596,597.0,LPKR-R,Right IV Lippo Karawaci Tbk,0,0,0,0.00%
597,598.0,LPLI,Star Pacific Tbk,260,260,0,0.00%
598,599.0,LPPF,Matahari Department Store Tbk.,4520,4600,80,1.77%
599,600.0,LPPS,Lenox Pasifik Investama Tbk.,92,90,-2,-2.17%
600,601.0,LRNA,Eka Sari Lorena Transport Tbk.,198,198,0,0.00%
601,602.0,LSIP,PP London Sumatra Indonesia Tbk.,1165,1150,-15,-1.29%
602,603.0,LTLS,Lautan Luas Tbk.,1200,1180,-20,-1.67%
603,604.0,LUCK,Sentral Mitra Informatika Tbk.,210,208,-2,-0.95%
604,605.0,LUCY,Lima Dua Lima Tiga Tbk.,119,130,11,9.24%
605,606.0,LUCY-W,Waran Seri I Lima Dua Lima Tiga Tbk.,62,66,4,6.45%
606,607.0,MABA,Marga Abhinaya Abadi Tbk.,50,0,0,0.00%
607,608.0,MAGP,Multi Agro Gemilang Plantation Tbk.,50,0,0,0.00%
608,609.0,MAGP-W,Waran Seri I Multi Agro Gemilang Plan.,0,0,0,0.00%
609,610.0,MAIN,Malindo Feedmill Tbk.,615,620,5,0.81%
610,611.0,MAIN-R,Right I Malindo Feedmill Tbk,0,0,0,0.00%
611,612.0,MAMI,Mas Murni Indonesia Tbk,50,0,0,0.00%
612,613.0,MAMI-W,Waran Seri I Mas Murni Indonesia Tbk,6,0,0,0.00%
613,614.0,MAMIP,Mas Murni Tbk (Saham Preferen),600,0,0,0.00%
614,615.0,MAPA,Map Aktif Adiperkasa Tbk.,2980,2870,-110,-3.69%
615,616.0,MAPB,MAP Boga Adiperkasa Tbk.,1550,1550,0,0.00%
616,617.0,MAPI,Mitra Adiperkasa Tbk.,895,850,-45,-5.03%
617,618.0,MARI,Mahaka Radio Integra Tbk.,158,156,-2,-1.27%
618,619.0,MARK,Mark Dynamics Indonesia Tbk.,940,935,-5,-0.53%
619,620.0,MASA,Multistrada Arah Sarana Tbk.,3370,3370,0,0.00%
620,621.0,MASB,Bank Multiarta Sentosa Tbk.,3420,3420,0,0.00%
621,622.0,MASB-W,Waran Seri I Bank Multiarta Sentosa Tbk.,108,98,-10,-9.26%
622,623.0,MAYA,Bank Mayapada Internasional Tbk.,545,545,0,0.00%
623,624.0,MAYA-R,Right VIII Bank Mayapada Int. Tbk,0,0,0,0.00%
624,625.0,MBAP,Mitrabara Adiperdana Tbk.,6600,6375,-225,-3.41%
625,626.0,MBSS,Mitrabahtera Segara Sejati Tbk.,955,960,5,0.52%
626,627.0,MBTO,Martina Berto Tbk.,112,111,-1,-0.89%
627,628.0,MCAS,M Cash Integrasi Tbk.,12450,12450,0,0.00%
628,629.0,MCOL,Prima Andalan Mandiri Tbk.,6875,6800,-75,-1.09%
629,630.0,MCOR,Bank China Construction Bank Indonesia Tbk.,90,89,-1,-1.11%
630,631.0,MCOR-R,Right II Bank Windu Kentjana Int Tbk,0,0,0,0.00%
631,632.0,MDIA,Intermedia Capital Tbk.,50,0,0,0.00%
632,633.0,MDKA,Merdeka Copper Gold Tbk.,3750,3610,-140,-3.73%
633,634.0,MDKA-R,Right II Merdeka Copper Gold Tbk,0,0,0,0.00%
634,635.0,MDKI,Emdeki Utama Tbk.,195,194,-1,-0.51%
635,636.0,MDLN,Modernland Realty Tbk.,91,91,0,0.00%
636,637.0,MDRN,Modern Internasional Tbk.,50,0,0,0.00%
637,638.0,MEDC,Medco Energi Internasional Tbk.,580,560,-20,-3.45%
638,639.0,MEDC-W,Waran Seri I Medco Energi Intl. Tbk,0,0,0,0.00%
639,640.0,MEGA,Bank Mega Tbk.,4930,4930,0,0.00%
640,641.0,MERK,Merck Tbk.,4130,4100,-30,-0.73%
641,642.0,META,Nusantara Infrastructure Tbk.,143,143,0,0.00%
642,643.0,MFIN,Mandala Multifinance Tbk.,1500,1525,25,1.67%
643,644.0,MFMI,Multifiling Mitra Indonesia Tbk.,675,670,-5,-0.74%
644,645.0,MGLV,Panca Anugrah Wisesa Tbk.,131,124,-7,-5.34%
645,646.0,MGLV-W,Waran Seri I Panca Anugrah Wisesa Tbk,1,0,0,0.00%
646,647.0,MGNA,Magna Investama Mandiri Tbk.,50,0,0,0.00%
647,648.0,MGNA-W,Waran Seri I Magna Finance Tbk,0,0,0,0.00%
648,649.0,MGRO,Mahkota Group Tbk.,885,890,5,0.57%
649,650.0,MICE,Multi Indocitra Tbk.,400,400,0,0.00%
650,651.0,MIDI,Midi Utama Indonesia Tbk.,2190,2160,-30,-1.37%
651,652.0,MIKA,Mitra Keluarga Karyasehat Tbk.,2750,2750,0,0.00%
652,653.0,MINA,Sanurhasta Mitra Tbk.,50,50,0,0.00%
653,654.0,MIRA,Mitra International Resources Tbk.,50,0,0,0.00%
654,655.0,MITI,Mitra Investindo Tbk.,169,168,-1,-0.59%
655,656.0,MKNT,Mitra Komunikasi Nusantara Tbk.,50,50,0,0.00%
656,657.0,MKPI,Metropolitan Kentjana Tbk.,22550,0,0,0.00%
657,658.0,MLBI,Multi Bintang Indonesia Tbk.,9325,9275,-50,-0.54%
658,659.0,MLIA,Mulia Industrindo Tbk,2690,2830,140,5.20%
659,660.0,MLPL,Multipolar Tbk.,155,153,-2,-1.29%
660,661.0,MLPL-R,Right VII Multipolar Tbk,0,0,0,0.00%
661,662.0,MLPT,Multipolar Technology Tbk.,2640,2590,-50,-1.89%
662,663.0,MMLP,Mega Manunggal Property Tbk.,398,396,-2,-0.50%
663,664.0,MNCN,Media Nusantara Citra Tbk.,950,910,-40,-4.21%
664,665.0,MOLI,Madusari Murni Indah Tbk.,252,254,2,0.79%
665,666.0,MPMX,Mitra Pinasthika Mustika Tbk.,910,900,-10,-1.10%
666,667.0,MPOW,Megapower Makmur Tbk.,117,117,0,0.00%
667,668.0,MPPA,Matahari Putra Prima Tbk.,194,190,-4,-2.06%
668,669.0,MPPA-R,Right VI Matahari Putra Prima Tbk,0,0,0,0.00%
669,670.0,MPRO,Maha Properti Indonesia Tbk.,770,780,10,1.30%
670,671.0,MRAT,Mustika Ratu Tbk.,246,290,44,17.89%
671,672.0,MREI,Maskapai Reasuransi Indonesia Tbk.,3250,3130,-120,-3.69%
672,673.0,MSIN,MNC Digital Entertainment Tbk.,4960,4950,-10,-0.20%
673,674.0,MSKY,MNC Sky Vision Tbk.,302,304,2,0.66%
674,675.0,MSKY-R,Right I MNC Sky Vision Tbk,0,0,0,0.00%
675,676.0,MTDL,Metrodata Electronics Tbk.,570,565,-5,-0.88%
676,677.0,MTDL-W1,Warrant Seri I Metrodata Elect,0,0,0,0.00%
677,678.0,MTEL,Dayamitra Telekomunikasi Tbk.,715,720,5,0.70%
678,679.0,MTFN,Capitalinc Investment Tbk.,50,50,0,0.00%
679,680.0,MTLA,Metropolitan Land Tbk.,338,340,2,0.59%
680,681.0,MTMH,Murni Sadar Tbk.,2690,2690,0,0.00%
681,682.0,MTPS,Meta Epsi Tbk.,50,50,0,0.00%
682,683.0,MTRA,Mitra Pemuda Tbk.,244,0,0,0.00%
683,684.0,MTSM,Metro Realty Tbk.,194,197,3,1.55%
684,685.0,MTWI,Malacca Trust Wuwungan Insurance Tbk.,147,151,4,2.72%
685,686.0,MYOH,Samindo Resources Tbk.,1625,1700,75,4.62%
686,687.0,MYOR,Mayora Indah Tbk.,1910,1910,0,0.00%
687,688.0,MYRX,Hanson International Tbk.,50,0,0,0.00%
688,689.0,MYRXP,Saham Seri B Hanson International Tbk.,50,0,0,0.00%
689,690.0,MYTX,Asia Pacific Investama Tbk.,55,55,0,0.00%
690,691.0,MYTX-R,Right III Asia Pasific Investama Tbk,0,0,0,0.00%
691,692.0,NANO,Nanotech Indonesia Global Tbk.,52,52,0,0.00%
692,693.0,NANO-W,Waran Seri I Nanotech Indonesia Global Tbk.,8,9,1,12.50%
693,694.0,NASA,Andalan Perkasa Abadi Tbk.,50,50,0,0.00%
694,695.0,NASA-W,"Waran Seri I PT Ayana Land Intl, Tbk",0,0,0,0.00%
695,696.0,NASI,Wahana Inti Makmur Tbk.,222,226,4,1.80%
696,697.0,NATO,Surya Permata Andalan Tbk.,575,595,20,3.48%
697,698.0,NATO-W,Waran Seri I Nusantara Properti Int.,394,0,0,0.00%
698,699.0,NELY,Pelayaran Nelly Dwi Putri Tbk.,300,294,-6,-2.00%
699,700.0,NETV,Net Visi Media Tbk.,304,292,-12,-3.95%
700,701.0,NFCX,NFC Indonesia Tbk.,7525,7500,-25,-0.33%
701,702.0,NICK,Charnic Capital Tbk.,446,476,30,6.73%
702,703.0,NICL,PAM Mineral Tbk.,86,85,-1,-1.16%
703,704.0,NICL-W,Waran Seri I PAM Mineral Tbk.,9,9,0,0.00%
704,705.0,NIKL,Pelat Timah Nusantara Tbk.,765,800,35,4.58%
705,706.0,NIPS,Nipress Tbk.,282,0,0,0.00%
706,707.0,NIRO,City Retail Developments Tbk.,147,146,-1,-0.68%
707,708.0,NISP,Bank OCBC NISP Tbk.,630,630,0,0.00%
708,709.0,NOBU,Bank Nationalnobu Tbk.,570,555,-15,-2.63%
709,710.0,NOBU-R,Right I Bank Nationalnobu Tbk,0,0,0,0.00%
710,711.0,NPGF,Nusa Palapa Gemilang Tbk.,60,57,-3,-5.00%
711,712.0,NRCA,Nusa Raya Cipta Tbk.,288,288,0,0.00%
712,713.0,NTBK,Nusatama Berkah Tbk.,50,50,0,0.00%
713,714.0,NTBK-W,Waran Seri I Nusatama Berkah Tbk.,7,6,-1,-14.29%
714,715.0,NUSA,Sinergi Megah Internusa Tbk.,50,0,0,0.00%
715,716.0,NUSA-W,Waran Seri I Sinergi Megah Internusa Tbk,0,0,0,0.00%
716,717.0,NZIA,Nusantara Almazia Tbk.,131,132,1,0.76%
717,718.0,NZIA-W,Waran Seri I Nusantara Almazia Tbk,0,0,0,0.00%
718,719.0,OASA,Protech Mitra Perkasa Tbk.,620,615,-5,-0.81%
719,720.0,OBMD,OBM Drilchem Tbk.,151,148,-3,-1.99%
720,721.0,OBMD-W,Waran Seri I OBM Drilchem Tbk.,28,28,0,0.00%
721,722.0,OCAP,Onix Capital Tbk.,159,0,0,0.00%
722,723.0,OILS,Indo Oil Perkasa Tbk.,212,210,-2,-0.94%
723,724.0,OILS-W,Waran Seri I Indo Oil Perkasa Tbk.,45,46,1,2.22%
724,725.0,OKAS,Ancora Indonesia Resources Tbk.,50,50,0,0.00%
725,726.0,OLIV,Oscar Mitra Sukses Sejahtera Tbk.,100,101,1,1.00%
726,727.0,OLIV-W,Waran Seri I Oscar Mitra Sukses Sejahtera Tbk.,8,8,0,0.00%
727,728.0,OMRE,Indonesia Prima Property Tbk,530,510,-20,-3.77%
728,729.0,OPMS,Optima Prima Metal Sinergi Tbk.,105,106,1,0.95%
729,730.0,PADI,Minna Padi Investama Sekuritas Tbk.,50,0,0,0.00%
730,731.0,PALM,Provident Agro Tbk.,690,680,-10,-1.45%
